"Kredi Kartı İşlemleri","Kredi Kartı İşlemleri"
"Kredi kartınızdan tahsilat yapıldı. Teşekkür ederiz...","Kredi kartınızdan tahsilat yapıldı. Teşekkür ederiz..."
"M.Ülke","M.Ülke"
"MD Hatasi nedeniyle tahsilat islemine gecilmedi...","MD Hatasi nedeniyle tahsilat islemine gecilmedi..."
"MD","MD"
"Name on Card","Kart Üzerindeki İsim"
"Name on the Card: %s","Kart Üzerindeki İsim: %s"
"Oran","Oran"
"RC","RC"                                                                                                                       
"S.K.Tarihi: %s/%s","S.K.Tarihi: %s/%s"
"Sipariş Bilgisine Erişilemedi...","Sipariş Bilgisine Erişilemedi..."
"Sipariş kaydına ulaşılamadı.","Sipariş kaydına ulaşılamadı."
"Son Kullanma Tarihi","Son Kullanma Tarihi"
"TRL - Türk Lirası (Yeni)","TRL - Türk Lirası (Yeni)"
"Tahsilat işlemi yapılamadı. Lisans Hatası...","Tahsilat işlemi yapılamadı. Lisans Hatası..."
"Tahsilat işlemi yapılamadı. Oluşan hata : ","Tahsilat işlemi yapılamadı. Oluşan hata : "
"Tahsilat işlemi yapılamadı.","Tahsilat işlemi yapılamadı."
"Tahsilat sırasında bir hata oluştu ve KARTINIZDAN PARA ÇEKİLEMEDİ.", "Tahsilat sırasında bir hata oluştu ve KARTINIZDAN PARA ÇEKİLEMEDİ."
"Taksit  : %s <br />","Taksit  : %s <br />"
"Taksit : <b>%s</b><br>","Taksit : <b>%s</b><br>"
"Taksit Seçiniz","Taksit Seçiniz"
"Taksit","Taksit"
"Tek Çekim","Tek Çekim"
"Tutar","Tutar"
"USD - Amerikan Dolari","USD - Amerikan Dolari"
"Vade Farkı","Vade Farkı"
"Veriler hazırlanırken bir sorun oluştu ve tahsilat sistemi hata döndürdü. Bu hata sistem yöneticilerine bildirildi. Bir önceki sayfaya dönerek yeniden denemek için <a href="" onclick="javascript:history.go(-1);">BURAYA</a> tıklayınız","Veriler hazırlanırken bir sorun oluştu ve tahsilat sistemi hata döndürdü. Bu hata sistem yöneticilerine bildirildi. Bir önceki sayfaya dönerek yeniden denemek için <a href="" onclick="javascript:history.go(-1);">BURAYA</a> tıklayınız"

"////////// BANKADAN DÖNEN HATA KODLARI ////////////////// ",   ""


"000 ONAY KODU XXXXXX",											""
"Onay",															""
"ISLEMINIZ ONAYLANDI",											""
"??LEM?N?Z ONAYLANDI",											""
"ApiServer Error: Belirlenen tarih araligi icin kart kullanim limit degeri asilmistir.",	"Kredi kartınızın günlük kullanım limiti dolduğundan işlem yapılamıyor. Lütfen başka bir kartla ödeme yapmayı deneyin veya bu kartla ödeme yapacaksanız yarın ( veye bu gece 00:00 dan sonra ) ödeme yapın."
"Islem yetkisi yok, client id, kullanici adi veya sifre hatali girilmis olabilir.",			"Ödeme Sistemi ile ilgili bir sorun oluştu. Bir süre sonra tekrar deneyiniz. Sorun devam ederse site yönetimi ile irtibata geçiniz."
"Girilen kart numarasi gecersiz. Kart numarasini kontrol ediniz.",							"Girilen kart numarasi gecersiz. Kart numarasini kontrol ediniz."
"Girilen kart numarasi gecersiz.Kart numarasini kontrol ediniz.",							"Girilen kart numarasi gecersiz. Kart numarasini kontrol ediniz."
"001 BANKANIZI ARAYIN",											"Lütfen Kredi Kartınızı aldığınız bankayı arayınız."
"005 RED-ONAYLANMADI",											"Kartınıza bankanız tarafından onay verilmedi. Lütfen Kredi Kartınızı aldığınız bankayı arayınız."
"05 RED-ONAYLANMADI",											"Kartınıza bankanız tarafından onay verilmedi. Lütfen Kredi Kartınızı aldığınız bankayı arayınız."
"051 YETERSIZ BAKIYE",											"Bu sipariş için Kartınızın Bakiyesi (veya Limiti) Yetersiz. Lütfen bakiye ve limit olarak yeterli bir kartla ödeme yapmayı deneyiniz."
"3035URUN KAYDI YOK",											"Kartınıza bankanız tarafından onay verilmedi. Lütfen Kredi Kartınızı aldığınız bankayı arayınız."
"51 RED-YTRSZ BAKIYE",											"Bu sipariş için Kartınızın Bakiyesi (veya Limiti) Yetersiz. Lütfen bakiye ve limit olarak yeterli bir kartla ödeme yapmayı deneyiniz."
"54 RED-ONAYLANMADI",											"Kartınıza bankanız tarafından onay verilmedi. Lütfen Kredi Kartınızı aldığınız bankayı arayınız."
"57 RED-ONAYLANMADI",											"Kartınıza bankanız tarafından onay verilmedi. Lütfen Kredi Kartınızı aldığınız bankayı arayınız."
"84 GUVENLIK KD HATA",											"Kartınıza bankanız tarafından onay verilmedi. Lütfen Kredi Kartınızı aldığınız bankayı arayınız."
"ApiServer Error: IP adresi yetkili degil",						"ApiServer Error: IP adresi yetkili degil"
"ApiServer Error: IP adresi yetkili degil",						"Sistem hatası nedeniyle ödeme işlemi tamamlanamadı. Lütfen site yönetimi ile irtibata geçiniz."
"ApiServer Error: XML Yapisinda Hata var",						"Sistem hatası. Site yönetimi ile iletişime geçiniz."
"BIN tanimi bulunamadi.",										"Ödeme yapmak için girdiğiniz kredi kartı bilgisine banka tarafından ulaşılamadı. Kart bilgilerini kontrol ederek tekrar ödeme yapmayı deneyiniz. Eğer ödeme yine başarısız olursa kartınızı aldığınız bankaya başvurup sorunun çözülmesini isteyiniz."
"Bakiyesi-Kredi limiti Yetersiz",								"Bu sipariş için Kartınızın Bakiyesi (veya Limiti) Yetersiz. Lütfen bakiye ve limit olarak yeterli bir kartla ödeme yapmayı deneyiniz."
"Bankasina ulasilamiyor.",										"Bankanız ile iletişimde sorun oluştu. Lütfen bir süre sonra tekrar deneyiniz."
"Bu istek isyerinin izin verilen IP ayarlari dahilinde degil.",	"Sistem hatası nedeniyle ödeme işlemi tamamlanamadı. Lütfen site yönetimi ile irtibata geçiniz."
"CVC2/4CSC HATALI",												"CVV bilgisi hatalı. Kartınızın arka kısmında bulunan 3 haneli rakamı CVV alanına doğru olarak girmelisiniz."
"CVV2 Degeri Hatali",											"CVV bilgisi hatalı. Kartınızın arka kısmında bulunan 3 haneli rakamı CVV alanına doğru olarak girmelisiniz."
"Cvc2 Bilgisi Hatali",											"CVV bilgisi hatalı. Kartınızın arka kısmında bulunan 3 haneli rakamı CVV alanına doğru olarak girmelisiniz."
"Debit kart kullanilamaz.",										"Kullandığınız kart bir Kredi Kartı Değildir. Banka kartları kredi kartı yerine geçmemektedir. Lütfen geçerli bir kredi kartıyla ödeme yapınız."
"Decline",														"Kartınıza bankanız tarafından onay verilmedi. Lütfen Kredi Kartınızı aldığınız bankayı arayınız."
"Do not honor",													"Kartınıza bankanız tarafından onay verilmedi. Lütfen Kredi Kartınızı aldığınız bankayı arayınız." 
"ELECTRON KART YUKLEMESI YAPILMAMIS KKM YI ARAYINIZ",			"Kartınıza bankanız tarafından onay verilmedi. Lütfen Kredi Kartınızı aldığınız bankayı arayınız."
"Expired Card",													"Kredi kartınızın kullanım süresi dolduğundan işlem yapılamıyor."
"Expired card",													"Kredi kartınızın kullanım süresi dolduğundan işlem yapılamıyor." 
"Format error",													"Kredi kartınızın numarasını yanlış girdiniz. Lütfen numarayı doğrulayarak tekrar deneyiniz." 
"GUN SONU MUTABAKATI YAPMALISINIZ",								"Ödeme Sistemi ile ilgili bir sorun oluştu. Bir süre sonra tekrar deneyiniz. Sorun devam ederse site yönetimi ile irtibata geçiniz."
"Genel red",													"Kartınıza bankanız tarafından onay verilmedi. Lütfen Kredi Kartınızı aldığınız bankayı arayınız."
"HATALI ECI DEGERI.",											"Ödeme Sistemi ile ilgili bir sorun oluştu. Bir süre sonra tekrar deneyiniz. Sorun devam ederse site yönetimi ile irtibata geçiniz."
"Hata detay? i?in HOSTMSG alan?na bak?n.",						"Hatalı işlem. Sistem hatası nedeniyle işlem tamamlanamadı. Lütfen site yönetimi ile irtibata geçiniz."
"Hatali CVV. / Issuer cevap vermedi.",							"Girilen CVV numarasi gecersiz veya bankanızın sistemi ile bağlantı kurulamıyor. Kartınızın arka kısmında bulunan 3 haneli rakamı CVV alanına doğru olarak girmelisiniz."  
"Hesap musait degil.",											"Bu sipariş için Kartınızın Bakiyesi (veya Limiti) Yetersiz. Lütfen bakiye ve limit olarak yeterli bir kartla ödeme yapmayı deneyiniz."
"INTERNETTEN KULLANILAMAZ",										"Ödeme yapmaya çalıştığınız kredi kartı İNTERNETTEN KULLANIMA KAPALIDIR. Lütfen bankanızı arayarak kartınızı internet kullanımına açınız veya internet kullanımına açık bir kredi kartı ile ödeme yapınız."
"Insufficient funds",											"Bu sipariş için Kartınızın Bakiyesi (veya Limiti) Yetersiz. Lütfen bakiye ve limit olarak yeterli bir kartla ödeme yapmayı deneyiniz." 
"Invalid transaction",											"Hatalı işlem. Sistem hatası nedeniyle işlem tamamlanamadı. Lütfen site yönetimi ile irtibata geçiniz."
"Islem Onaylanmadi",											"Kartınıza bankanız tarafından onay verilmedi. Lütfen Kredi Kartınızı aldığınız bankayı arayınız."
"Islem Onaylanmadi.",											"Kartınıza bankanız tarafından onay verilmedi. Lütfen Kredi Kartınızı aldığınız bankayı arayınız."
"Islem Tipine Müsade Yok.",										"Ödeme Sistemi ile ilgili bir sorun oluştu. Bir süre sonra tekrar deneyiniz. Sorun devam ederse site yönetimi ile irtibata geçiniz."
"Isyerinin bu isleme yetkisi yok",								"Sistem hatası nedeniyle ödeme işlemi tamamlanamadı. Lütfen site yönetimi ile irtibata geçiniz."
"Isyerinin urun yetkisi yok",									"Sistem hatası nedeniyle ödeme işlemi tamamlanamadı. Lütfen site yönetimi ile irtibata geçiniz."
"Isyerinin urun-islem yetkisi yok",								"Sistem hatası nedeniyle ödeme işlemi tamamlanamadı. Lütfen site yönetimi ile irtibata geçiniz."
"KART BILGILERI HATALI GIRILDI",								"Girilen kart bilgilerinde hata var. Lütfen bilgileri doğrulayarak tekrar deneyiniz."
"KART MOTO ISLEME KAPALI",										"Ödeme yapmaya çalıştığınız kredi kartı İNTERNETTEN KULLANIMA KAPALIDIR. Lütfen bankanızı arayarak kartınızı internet kullanımına açınız veya internet kullanımına açık bir kredi kartı ile ödeme yapınız.(2)"
"KART SATIS LIMITI YETERSIZ",									"Bu sipariş için Kartınızın Bakiyesi (veya Limiti) Yetersiz. Lütfen bakiye ve limit olarak yeterli bir kartla ödeme yapmayı deneyiniz."
"KAYIP KART- KARTA EL KOY",										"Kartınız sistem tarafından geçersiz olarak algılandı. Lütfen bankanızı arayınız."
"Kart Sahibi Bu Islemi Yapamaz.",								"Ödeme yapmaya çalıştığınız kredi kartından tahsilat yapılamıyor. Lütfen bankanızı arayarak kartınızı internet kullanımına açınız veya internet kullanımına açık bir kredi kartı ile ödeme yapınız."
"Kart sahibine acik olmayan islem.",							"Kartınızdan işlem yapamıyoruz. Lütfen başka bir kartla ödeme yapmayı deneyin veya sorunun çözümü için site yönetimi ile bağlantı kurun."
"Kartin son kullanma tarihi hatali.",							"Kredi kartınızın son kullanma tarihi yanlış girildi. Lütfen bilgileri doğrulayarak tekrar deneyiniz."
"Kayip Kart, Karta El Koy.",									"Kartınız sistem tarafından geçersiz olarak algılandı. Lütfen bankanızı arayınız."
"Kullanici bu islemi yapmaya yetkili degil.",					"Sistem hatası nedeniyle ödeme işlemi tamamlanamadı. Lütfen site yönetimi ile irtibata geçiniz."
"LIMIT YETERSIZ",												"Bu sipariş için Kartınızın Bakiyesi (veya Limiti) Yetersiz. Lütfen bakiye ve limit olarak yeterli bir kartla ödeme yapmayı deneyiniz."
"Limit Yetersiz.",												"Bu sipariş için Kartınızın Bakiyesi (veya Limiti) Yetersiz. Lütfen bakiye ve limit olarak yeterli bir kartla ödeme yapmayı deneyiniz."
"MUSTERI SATIS LIMITI YETERSIZ",								"Bu sipariş için Kartınızın Bakiyesi (veya Limiti) Yetersiz. Lütfen bakiye ve limit olarak yeterli bir kartla ödeme yapmayı deneyiniz."
"Not sufficient funds",											"Bu sipariş için Kartınızın Bakiyesi (veya Limiti) Yetersiz. Lütfen bakiye ve limit olarak yeterli bir kartla ödeme yapmayı deneyiniz."
"Onay alinamadi lutfen tekrar deneyiniz.",						"Ödeme işlemi bankanızdan onay alınamadığı için tamamlanamadı. Lütfen tekrar deneyiniz."
"Pickup card (stolen card)",									"Bankanız bu kart için onay vermiyor. Lütfen bankanızı arayınız."
"Refer to card issuer",											"Bankanız bu ödemeyi onaylamıyor. Lütfen bankanızı arayınız."     
"Restricted card (for example, in Country",						"Sadece kredi kartı sağlayan bankanın ülkesinde kullanılabilecek sınırlı kart."   
"SHADOW LIM. KULL. SAYI ASILDI.",								"Kullandığınız kredi kartı için Günlük Kullanım Limiti aşılmış. Siparişi tamamlamak için ya başka bir kredi kartı ile ödeme yapın ya da bankanızı arayarak limitinizle ilgili sorunun giderilmesini sağlayın."
"SON KULLANMA TARIHI HATALI",									"Kredi kartınızın son kullanma tarihini hatalı girdiniz."
"Taksitli islem yetkisi yok",									"Kredi kartınızla taksitli işlem yapılamıyor. Kredi kartlarında taksit sadece kendi bankalarının sisteminde yapılabilir. Kartınızın bankasını doğru seçtiğinizden veya kartınızın taksit yapabilen kart olduğundan emin olunuz."
"Transaction not permitted to cardholder",						"Kartınız sistem tarafından geçersiz veya kullanılamaz olarak algılandı. Lütfen bankanızı arayınız."
"Txn not permitted to cardholder (Visa Ca",						"Kredi kartınızın kullanım süresi dolduğundan işlem yapılamıyor."
"Vade Sonu Geçmis Kart",										"Kredi kartınızın kullanım süresi dolduğundan işlem yapılamıyor."
"Vadesi Dolmus Kart.",											"Kredi kartınızın kullanım süresi dolduğundan işlem yapılamıyor."
"Yurtici kartlar YP islem yapamaz",								"Kredi kartınızdan Yabancı Para Birimi ile işlem yapamıyoruz. Sorunu çözmek için site yönetimiyle bağlantı kurunuz." 
"0122",															"Şu an işleminizi yapamıyoruz. Lütfen bir süre sonra tekrar deneyiniz..."
"ErrorId: 0122",												"Şu an işleminizi yapamıyoruz. Lütfen bir süre sonra tekrar deneyiniz..."
"ErrorId: 0804",												"Ödeme işleminde bir hata oluştu ve kartınızdan para çekilemedi. Lütfen bir süre sonra tekrar deneyiniz."
"ErrorId: 0651",												"Sistem hatası nedeniyle ödeme işlemi tamamlanamadı. Lütfen site yönetimi ile irtibata geçiniz."

"MAXIPUAN : % 1.00",											""
"MAXIPUAN: % 1.00 UZERINDEN 0,23 TL KAZANDINIZ",				""

"BANKASYA HATA MESAJLARI ///////////////////////////////////////////////////////////////////////////////////////","//////////////////////////"
"Onaylandı","Onaylandı"
"Bankanizi arayin  ( Kart bankası işleme onay vermiyor)","Bankanizi arayin  ( Kart bankası işleme onay vermiyor)"
"Bankanizi Arayin   (BANKANIZI ARAYIN, Özel durum )","Bankanizi Arayin   (BANKANIZI ARAYIN, Özel durum )"
"Red-Karta El Koy ( Kart blokeli)","Red-Karta El Koy ( Kart blokeli)"
"Red-Onaylanmadi   ( Kredi kart blokeli olması durumunda)","Red-Onaylanmadi   ( Kredi kart blokeli olması durumunda)"
"Kimlik Kontrolü/","Kimlik Kontrolü/"
"Red-Gecersiz Islem  (GEÇERSİZ İŞLEM, Tanımsız işlem yetkisi )","Red-Gecersiz Islem  (GEÇERSİZ İŞLEM, Tanımsız işlem yetkisi )"
"Red-Gecersiz Tutar   (RED GEÇERSİZ TUTAR, Hatalı tutar. )","Red-Gecersiz Tutar   (RED GEÇERSİZ TUTAR, Hatalı tutar. )"
"Red-Hatali Kart         (KART NUMARASI HATALI, Hatalı kart girişi)","Red-Hatali Kart         (KART NUMARASI HATALI, Hatalı kart girişi)"
"Red-Gecersiz Kart    (Tanımsız Issuer )","Red-Gecersiz Kart    (Tanımsız Issuer )"
"Bankanizi arayin        ( Format error )","Bankanizi arayin        ( Format error )"
"Red-Karta El Koy      ( Süresi dolmuş kart , Expired card, pick-up)","Red-Karta El Koy      ( Süresi dolmuş kart , Expired card, pick-up)"
"Red-Karta El Koy       ","Red-Karta El Koy       "
"Red-Karta El Koy      (HATALI ŞİFRE, Hatalı şifre girişi.)","Red-Karta El Koy      (HATALI ŞİFRE, Hatalı şifre girişi.)"
"Red-Karta El Koy Kayıp kart","Red-Karta El Koy Kayıp kart"
"Red-Karta El Koy Çalıntı Kart","Red-Karta El Koy Çalıntı Kart"
"Red-Yetersiz Bakiye","Red-Yetersiz Bakiye"
"Red-Onaylanmadi (Vadesi dolmuş kart)","Red-Onaylanmadi (Vadesi dolmuş kart)"
"Red-Sifre Tekrar    (Hatalı PIN )","Red-Sifre Tekrar    (Hatalı PIN )"
"Red-Onaylanmadi  (İŞLEM TİPİ KARTA KAPALI, Kart tanımsız. )","Red-Onaylanmadi  (İŞLEM TİPİ KARTA KAPALI, Kart tanımsız. )"
"Red-Onaylanmadi ( Terminal Yetkisi yok )","Red-Onaylanmadi ( Terminal Yetkisi yok )"
"Red-Onaylanmadi ( Kısıtlı kart )","Red-Onaylanmadi ( Kısıtlı kart )"
"Red-Onaylanmadi  (BANKANIZI ARAYIN, Kart aylık kulanım sayısı dolmuş )","Red-Onaylanmadi  (BANKANIZI ARAYIN, Kart aylık kulanım sayısı dolmuş )"
"Red-Onaylanmadi   (BANKANIZI ARAYIN, Şifre deneme sayısı aşıldı. )","Red-Onaylanmadi   (BANKANIZI ARAYIN, Şifre deneme sayısı aşıldı. )"
"Red-Baglanti yok  (BANKANIZI ARAYIN, Karşı banka yanıt vermiyor )","Red-Baglanti yok  (BANKANIZI ARAYIN, Karşı banka yanıt vermiyor )"
"Red-Gecersiz Kart ","Red-Gecersiz Kart "
"Geçersiz Bin ( Kart numarası geçersiz )","Geçersiz Bin ( Kart numarası geçersiz )"
"Red Baglanti Yok  (BANKANIZI ARAYIN, Sistem hatası nedeniyle alınır.)","Red Baglanti Yok  (BANKANIZI ARAYIN, Sistem hatası nedeniyle alınır.)"
                                                                                                                                                                                                                                                                
"Sistem Hatası","Sistem Hatası"
"Veri Tabanı hatası","Veri Tabanı hatası"
"Satış işlemi başlatılamadı","Satış işlemi başlatılamadı"
"Satış işlemi güncellenemedi","Satış işlemi güncellenemedi"
"İlk işlem aranırken hata alındı ( Farklı bir işyerinin kullandığı trnx ıd numarası ile gönderim yapılıyor )","İlk işlem aranırken hata alındı ( Farklı bir işyerinin kullandığı trnx ıd numarası ile gönderim yapılıyor )"
"İlk işlem alınamadı","İlk işlem alınamadı"
"CVV2'yi şifrelerken hata alındı","CVV2'yi şifrelerken hata alındı"
"İş yeri daha önce kullandığı bir işlem numarası gönderdi.","İş yeri daha önce kullandığı bir işlem numarası gönderdi."
"İşlem iç hata","İşlem iç hata"
"İşlem iç hata","İşlem iç hata"
"İşlem iptal'de hata alındı","İşlem iptal'de hata alındı"
"İşlem iptal iç hata","İşlem iptal iç hata"
"İşlem iptal iç hata","İşlem iptal iç hata"
"İptal işleminde tutar hatalı","İptal işleminde tutar hatalı"
"İşlem tutarı geçersiz.","İşlem tutarı geçersiz."
"İptal edilecek puan geçersiz.","İptal edilecek puan geçersiz."
"Geçersiz tutar.","Geçersiz tutar."
"CVV hatalı","CVV hatalı"
"Kredi Kartı numarası hatalı","Kredi Kartı numarası hatalı"
"Kredi Kartı son kullanma tarihi hatalı","Kredi Kartı son kullanma tarihi hatalı"
"İş Yeri numarası hatalı","İş Yeri numarası hatalı"
"İşlem Numarası hatalı","İşlem Numarası hatalı"
"İşlem tipi hatalı","İşlem tipi hatalı"
"Kredi Kartı markası hatalı","Kredi Kartı markası hatalı"
"Gönderilen ek bilgiler hatalı","Gönderilen ek bilgiler hatalı"
"Gönderilen ek bilgiler hatalı","Gönderilen ek bilgiler hatalı"
"Veri Tabanı Hatası","Veri Tabanı Hatası"
"Uygun Terminal bulunamadı","Uygun Terminal bulunamadı"
"Kullanılabilir Terminal bulunamadı","Kullanılabilir Terminal bulunamadı"
"Seçilen terminal şu anda kullanılamaz","Seçilen terminal şu anda kullanılamaz"
"İş yerinin İşlem için gerekli hakkı yok","İş yerinin İşlem için gerekli hakkı yok"
"Ön provizyonu gerçekleştirilmemiş işlem. Lütfen önce ön provizyon işlemi yapınız","Ön provizyonu gerçekleştirilmemiş işlem. Lütfen önce ön provizyon işlemi yapınız"
"İşlem iptal edilemez","İşlem iptal edilemez"
"Tanımsız üye iş yeri.","Tanımsız üye iş yeri."
"Banka hostu tarafından desteklenmeyen mesaj tipi.","Banka hostu tarafından desteklenmeyen mesaj tipi."
"Host bağlantı/mesaj hatası. Sistem hata loglarını kontrol ediniz.","Host bağlantı/mesaj hatası. Sistem hata loglarını kontrol ediniz."
"Banka Hostun alınan parametreler yanlış","Banka Hostun alınan parametreler yanlış"
"Stan oluşturma hatası. Sistem hata loglarını kontrol ediniz. Tekrar deneyiniz","Stan oluşturma hatası. Sistem hata loglarını kontrol ediniz. Tekrar deneyiniz"
"Banka Hostunda timeout alındı","Banka Hostunda timeout alındı"
"İş yeri şifresi yanlış","İş yeri şifresi yanlış"
"İş yeri aktif değil","İş yeri aktif değil"
"Xml hatası","Xml hatası"
"Tutar sayısal değil","Tutar sayısal değil"
"Para birimi değeri sayısal değil","Para birimi değeri sayısal değil"
"Kart numarası sayısal değil","Kart numarası sayısal değil"
"CVV2 değeri sayısal değil","CVV2 değeri sayısal değil"
"Geçersiz son kullanım tarihi","Geçersiz son kullanım tarihi"
"Tutar 20000 YTLden büyük","Tutar 20000 YTLden büyük"
"İşlem numarası kabul edilemiyor","İşlem numarası kabul edilemiyor"
"Para tipi sistemde tanımlı değil","Para tipi sistemde tanımlı değil"
"Kart tipi sistemde tanımlı değil","Kart tipi sistemde tanımlı değil"
"Kart son kullanım tarihi geçmiş","Kart son kullanım tarihi geçmiş"
"Firma geçerli değil","Firma geçerli değil"
"Firma şifresi hatalı","Firma şifresi hatalı"
"Firma meşgul","Firma meşgul"
"Terminal geçerli değil","Terminal geçerli değil"
"Terminal meşgul","Terminal meşgul"
"Firma bu işlemi gerçekleştirmek için yetkili değil","Firma bu işlemi gerçekleştirmek için yetkili değil"
"Terminal bu işlemi gerçekleştirmek için yetkili değil","Terminal bu işlemi gerçekleştirmek için yetkili değil"
"Kullanıcı bu işlemi gerçekleştirmek için yetkili değil","Kullanıcı bu işlemi gerçekleştirmek için yetkili değil"
"Açılmış batch bulunamadı","Açılmış batch bulunamadı"
"Sıra numarası oluşturulamıyor","Sıra numarası oluşturulamıyor"
"Otorizasyon isteği veritabanına yazılamıyor","Otorizasyon isteği veritabanına yazılamıyor"
"Orijinal işlem bilgisi boş","Orijinal işlem bilgisi boş"
"Orijinal işlem değiştirilemez","Orijinal işlem değiştirilemez"
"Değiştirilecek tutar orijinal işlem tutarından büyük","Değiştirilecek tutar orijinal işlem tutarından büyük"
"Reauth süresi geçmiş","Reauth süresi geçmiş"
"Orijinal işlem meşgul","Orijinal işlem meşgul"
"Orijinal işlem bulunamadı","Orijinal işlem bulunamadı"
